(2, ('C=O', 'CC=O'), ('CC(=O)CO',), 689)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('CC(=O)CO',), ('CC(=O)C(=O)O',), 16)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('C=O', 'CC=O'), ('CC(=O)CO',), 689)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('CC(=O)CO',), ('CC(=O)C(=O)O',), 17)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('C=O', 'CC=O'), ('CC(=O)CO',), 689)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('CC(=O)CO',), ('CC(=O)C(=O)O',), 16)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('C=O', 'CC=O'), ('CC(=O)CO',), 689)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('CC(=O)CO',), ('CC(=O)C(=O)O',), 17)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('C=O', 'NCC(=O)O'), ('NC(CO)C(=O)O',), 117)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('NC(CO)C(=O)O',), ('CC(=O)C(=O)O',), 23)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('C=O', 'NCC(=O)O'), ('NC(CO)C(=O)O',), 117)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('NC(CO)C(=O)O',), ('CC(=O)C(=O)O',), 22)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('C=O', 'NCC(=O)O'), ('NC(CO)C(=O)O',), 117)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('NC(CO)C(=O)O',), ('CC(=O)C(=O)O',), 23)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(2, ('C=O', 'NCC(=O)O'), ('NC(CO)C(=O)O',), 117)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)
(1, ('NC(CO)C(=O)O',), ('CC(=O)C(=O)O',), 22)

(6, ('CCCCCCO',), ('CCCC=CCO',), 28)
(5, ('CCCC=CCO',), ('CCCC(O)C(CO)C(=O)O',), 1245)
(4, ('CCCC(O)C(CO)C(=O)O',), ('CCCC(O)C(C=O)CO',), 183912)
(3, ('CCCC(O)C(C=O)CO',), ('CCCC(O)CC=O', 'C=O'), 140260)
