Rule ID,Rule,EC number,Reaction order,Diameter,Score,,,
2.5.1.b.1.f,([C:1][CH:2]=[O:3].[CH2:4]=[C:5]([O:6][P:7]([OH:8])([OH:9])=[O:10])[C:11]([OH:12])=[O:13].[OH2:14])>>([C:1][C:2](=[O:3])[CH2:4][C:5](=[O:14])[C:11]([OH:12])=[O:13].[OH:6][P:7]([OH:8])([OH:9])=[O:10]),2.5.1.b.1.f,1,1,forward,,,
2.5.1.b.1.r,([C:1][C:2](=[O:3])[CH2:4][C:5](=[O:14])[C:11]([OH:12])=[O:13].[OH:6][P:7]([OH:8])([OH:9])=[O:10])>>([C:1][CH:2]=[O:3].[CH2:4]=[C:5]([O:6][P:7]([OH:8])([OH:9])=[O:10])[C:11]([OH:12])=[O:13]),2.5.1.b.1.r,1,1,reverse,,,
2.5.1.b.2.f,([CH2:2]=[O:3].[CH2:4]=[C:5]([O:6][P:7]([OH:8])([OH:9])=[O:10])[C:11]([OH:12])=[O:13].[OH2:14])>>([CH:2](=[O:3])[CH2:4][C:5](=[O:14])[C:11]([OH:12])=[O:13].[OH:6][P:7]([OH:8])([OH:9])=[O:10]),2.5.1.b.2.f,1,1,forward,,,
2.5.1.b.2.r,([CH:2](=[O:3])[CH2:4][C:5](=[O:14])[C:11]([OH:12])=[O:13].[OH:6][P:7]([OH:8])([OH:9])=[O:10])>>([CH2:2]=[O:3].[CH2:4]=[C:5]([O:6][P:7]([OH:8])([OH:9])=[O:10])[C:11]([OH:12])=[O:13]),2.5.1.b.2.r,1,1,reverse,,,
2.7.1.a.1.f,([OH:1][C:2].[OH:6][P:7]([OH:8])([OH:9])=[O:10])>>([C:2][O:6][P:7]([OH:8])([OH:9])=[O:10]),2.7.1.a.1.f,1,1,doubledirection,,,
2.7.1.a.1.r,([C:2][O:6][P:7]([OH:8])([OH:9])=[O:10].[OH2:1])>>([OH:1][C:2].[OH:6][P:7]([OH:8])([OH:9])=[O:10]),2.7.1.a.1.r,1,1,doubledirection,,,
2.7.1.b.1.f,([C:1][CH2:2][C:3](=[O:4])[C:5](=[O:6])[OH:7].[OH:8][P:9]([OH:10])([OH:11])=[O:12])>>([C:1][CH2:2][C:3]([O:8][P:9]([OH:10])([OH:11])=[O:12])[C:5](=[O:6])[OH:7].[OH2:4]),2.7.1.b.1.f,1,1,forward,,,
2.7.1.b.1.r,([C:1][CH2:2][C:3]([O:8][P:9]([OH:10])([OH:11])=[O:12])[C:5](=[O:6])[OH:7])>>([C:1][CH2:2][C:3](=[O:4])[C:5](=[O:6])[OH:7].[OH:8][P:9]([OH:10])([OH:11])=[O:12]),2.7.1.b.1.r,1,1,reverse,,,
3.0.0.a.1.f,([OH2:1].[*:5][O:6][P:7]([O:8])([O:9])=[O:10])>>([OH:1][*:5].[OH:6][P:7]([O:8])([O:9])=[O:10]),3.0.0.a.1.f,1,1,forward,,,
3.0.0.a.1.r,([OH:1][*:5].[OH:6][P:7]([O:8])([O:9])=[O:10])>>([*:5][O:6][P:7]([O:8])([O:9])=[O:10]),3.0.0.a.1.r,1,1,reverse,,,
3.1.1.a.1.f,([C:1][C:2](=[O:3])[O:4][C:5].[OH2:6])>>([C:1][C:2](=[O:3])[OH:4].[C:5][OH:6]),3.1.1.a.1.f,1,1,doubledirection,,,
3.1.1.a.1.r,([C:1][C:2](=[O:3])[OH:4].[C:5][OH:6])>>([C:1][C:2](=[O:3])[O:4][C:5]),3.1.1.a.1.r,1,1,doubledirection,,,
3.1.1.b.1.f,([C:1]=[C:2][O:3][C:4].[OH2:5])>>([CH:1][C:2]=[O:3].[C:4][OH:5]),3.1.1.b.1.f,1,1,forward,,,
3.1.1.b.1.r,([CH:1][C:2]=[O:3].[C:4][OH:5])>>([C:1]=[C:2][O:3][C:4]),3.1.1.b.1.r,1,1,reverse,,,
3.1.2.c.1.f,([C:1][C:2](=[O:6])[S:3][C:4].[OH2:5])>>([C:1][C:2](=[O:6])[OH:5].[C:4][SH:3]),3.1.2.c.1.f,1,1,doubledirection,,,
3.1.2.c.1.r,([C:1][C:2](=[O:6])[OH:5].[C:4][SH:3])>>([C:1][C:2](=[O:6])[S:3][C:4].[OH2:5]),3.1.2.c.1.r,1,1,doubledirection,,,
3.3.2.a.1.f,([C:1]1[C:2][O:3]1.[OH2:4])>>([OH:4][C:1][C:2][OH:3]),3.3.2.a.1.f,1,1,doubledirection,,,
3.3.2.a.1.r,([OH:4][C:1][C:2][OH:3])>>([C:1]1[C:2][O:3]1.[OH2:4]),3.3.2.a.1.r,1,1,doubledirection,,,
3.5.1.a.1.f,([O:1]=[C:2][N:3].[OH2:4])>>([O:1]=[C:2][OH:4].[*:3]),3.5.1.a.1.f,1,1,doubledirection,,,
3.5.1.a.1.r,"([O:1]=[C:2][OH:4].[NH,NH2,NH3:3])>>([O:1]=[C:2][*:3])",3.5.1.a.1.r,1,1,doubledirection,,,
3.5.3.a.1.f,"([C,S,N,P:1][N:2]=[C:3]([C,S,N,P:4])[C,S,N,P:5].[OH2:6])>>([*:1][NH2:2].[C:3]([*:4])([*:5])=[O:6])",3.5.3.a.1.f,1,1,doubledirection,,,
3.5.3.a.1.r,"([C,S,N,P:1][NH2:2].[C:3]([C,S,N,P:4])([C,S,N,P:5])=[O:6])>>([*:1][N:2]=[C:3]([*:4])[*:5])",3.5.3.a.1.r,1,1,doubledirection,,,
3.5.3.a.2.f,"([NH:2]=[C:3]([C,S,N,P:4])[C,S,N,P:5].[OH2:6])>>([NH3:2].[C:3]([*:4])([*:5])=[O:6])",3.5.3.a.2.f,1,1,doubledirection,,,
3.5.3.a.2.r,"([NH3:2].[C:3]([C,S,N,P:4])([C,S,N,P:5])=[O:6])>>([NH:2]=[C:3]([*:4])[*:5])",3.5.3.a.2.r,1,1,doubledirection,,,
3.5.3.a.3.f,"([C,S,N,P:1][N:2]=[CH:3][C,S,N,P:5].[OH2:6])>>([*:1][NH2:2].[CH:3]([*:5])=[O:6])",3.5.3.a.3.f,1,1,doubledirection,,,
3.5.3.a.3.r,"([C,S,N,P:1][NH2:2].[CH:3]([C,S,N,P:5])=[O:6])>>([*:1][N:2]=[CH:3][*:5])",3.5.3.a.3.r,1,1,doubledirection,,,
3.5.3.a.4.f,"([NH:2]=[CH:3][C,S,N,P:5].[OH2:6])>>([NH3:2].[CH:3]([*:5])=[O:6])",3.5.3.a.4.f,1,1,doubledirection,,,
3.5.3.a.4.r,"([NH3:2].[CH:3]([C,S,N,P:5])=[O:6])>>([NH:2]=[CH:3][*:5])",3.5.3.a.4.r,1,1,doubledirection,,,
3.5.3.a.5.f,"([C,S,N,P:1][N:2]=[CH2:3].[OH2:6])>>([*:1][NH2:2].[CH2:3]=[O:6])",3.5.3.a.5.f,1,1,doubledirection,,,
3.5.3.a.5.r,"([C,S,N,P:1][NH2:2].[CH:3]=[O:6])>>([*:1][N:2]=[CH:3])",3.5.3.a.5.r,1,1,doubledirection,,,
3.5.3.a.6.f,([NH:2]=[CH2:3].[OH2:6])>>([NH3:2].[CH2:3]=[O:6]),3.5.3.a.6.f,1,1,doubledirection,,,
3.5.3.a.6.r,([NH3:2].[CH:3]=[O:6])>>([NH:2]=[CH:3]),3.5.3.a.6.r,1,1,doubledirection,,,
3.5.3.b.1.f,([N:1]=[C:2][N:3].[OH2:4])>>([N:1]=[C:2][OH:4].[*:3]),3.5.3.b.1.f,1,1,doubledirection,,,
3.5.3.b.1.r,"([N:1]=[C:2][OH:4].[NH,NH2,NH3:3])>>([N:1]=[C:2][*:3])",3.5.3.b.1.r,1,1,doubledirection,,,
3.5.4.a.1.f,"([C:1]=[C:2][NH,NH2:3])>>([CH:1][C:2]=[*:3])",3.5.4.a.1.f,1,1,doubledirection,,,
3.5.4.a.1.r,([CH:1][C:2]=[N:3])>>([C:1]=[C:2][*:3]),3.5.4.a.1.r,1,1,doubledirection,,,
3.7.1.a.1.f,"([C,S,N,P:1][C:2](=[O:3])[C:4][C:5](=[O:6])[C,S,N,P:7].[OH2:8])>>([*:1][C:2](=[O:3])[OH:8].[*:4][C:5](=[O:6])[*:7])",3.7.1.a.1.f,1,1,doubledirection,,,
3.7.1.a.1.r,"([C,S,N,P:1][C:2](=[O:3])[OH:8].[CH,CH2,CH3:4][C:5](=[O:6])[C,S,N,P:7])>>([*:1][C:2](=[O:3])[C:4][C:5](=[O:6])[*:7])",3.7.1.a.1.r,1,1,doubledirection,,,
3.7.1.a.2.f,"([CH:2](=[O:3])[C:4][C:5](=[O:6])[C,S,N,P:7].[OH2:8])>>([CH:2](=[O:3])[OH:8].[*:4][C:5](=[O:6])[*:7])",3.7.1.a.2.f,1,1,doubledirection,,,
3.7.1.a.2.r,"([CH:2](=[O:3])[OH:8].[CH,CH2,CH3:4][C:5](=[O:6])[C,S,N,P:7])>>([CH:2](=[O:3])[C:4][C:5](=[O:6])[*:7])",3.7.1.a.2.r,1,1,doubledirection,,,
3.7.1.a.3.f,"([C,S,N,P:1][C:2](=[O:3])[C:4][CH:5](=[O:6]).[OH2:8])>>([*:1][C:2](=[O:3])[OH:8].[*:4][CH:5](=[O:6]))",3.7.1.a.3.f,1,1,doubledirection,,,
3.7.1.a.3.r,"([C,S,N,P:1][C:2](=[O:3])[OH:8].[CH,CH2,CH3:4][CH:5](=[O:6]))>>([*:1][C:2](=[O:3])[C:4][CH:5](=[O:6]))",3.7.1.a.3.r,1,1,doubledirection,,,
3.7.1.a.4.f,([CH:2](=[O:3])[C:4][CH:5](=[O:6]).[OH2:8])>>([CH:2](=[O:3])[OH:8].[*:4][CH:5](=[O:6])),3.7.1.a.4.f,1,1,doubledirection,,,
3.7.1.a.4.r,"([CH:2](=[O:3])[OH:8].[CH,CH2,CH3:4][CH:5](=[O:6]))>>([CH:2](=[O:3])[C:4][CH:5](=[O:6]))",3.7.1.a.4.r,1,1,doubledirection,,,
3.7.1.b.1.f,"([OH2:1].[C:2](=[O:3])[C:4][CH,CH2:5][N:6])>>([OH:1][C:2]=[O:3].[*:4][*:5][N:6])",3.7.1.b.1.f,1,1,doubledirection,,,
