(6, ('CC(N)(CO)(CCCN)C(=O)O',), ('CC(N)(C(=O)O)C(O)CCCN',), 959)
(5, ('CC(N)(C(=O)O)C(O)CCCN',), ('CC(N)C(=O)O',), 3230)
(4, ('CC(N)C(=O)O',), ('CC(N)(C(=O)O)C(=O)OP(=O)(O)O',), 1408)
(3, ('CC(N)(C(=O)O)C(=O)OP(=O)(O)O',), ('NC(CC(=O)OP(=O)(O)O)C(=O)O',), 425)
(2, ('NC(CC(=O)OP(=O)(O)O)C(=O)O',), ('O=C(CC(=O)C(=O)O)OP(=O)(O)O',), 65)
(1, ('O=C(CC(=O)C(=O)O)OP(=O)(O)O',), ('O=C(O)CC(=O)C(=O)O',), 6)

(8, ('NCCCCC(N)C(=O)O',), ('CC(N)(CCCN)C(=O)O',), 16)
(7, ('CC(N)(CCCN)C(=O)O',), ('CC(N)(CCCN)(C(=O)O)C(=O)O',), 232)
(6, ('CC(N)(CCCN)(C(=O)O)C(=O)O',), ('CC(N)(C(=O)O)C(=O)(O)CCCN',), 969)
(5, ('CC(N)(C(=O)O)C(=O)(O)CCCN',), ('CC(N)C(=O)O',), 3241)
(4, ('CC(N)C(=O)O',), ('CC(N)(C(=O)O)C(=O)O',), 335)
(3, ('CC(N)(C(=O)O)C(=O)O',), ('NCC(C(=O)O)C(=O)O',), 454)
(2, ('NCC(C(=O)O)C(=O)O',), ('NC(CC(=O)O)C(=O)O',), 110)
(1, ('NC(CC(=O)O)C(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 4)

(8, ('NCCCCC(N)C(=O)O',), ('CC(N)(CCCN)C(=O)O',), 16)
(7, ('CC(N)(CCCN)C(=O)O',), ('CC(N)(CCCN)(C(=O)O)C(=O)O',), 232)
(6, ('CC(N)(CCCN)(C(=O)O)C(=O)O',), ('CC(N)(C(=O)O)C(=O)(O)CCCN',), 969)
(5, ('CC(N)(C(=O)O)C(=O)(O)CCCN',), ('CC(N)C(=O)O',), 3241)
(4, ('CC(N)C(=O)O',), ('CC(N)(C(=O)O)C(=O)O',), 335)
(3, ('CC(N)(C(=O)O)C(=O)O',), ('NC(CC(=O)O)C(=O)O',), 111)
(2, ('NC(CC(=O)O)C(=O)O',), ('NC(CC(=O)O)C(=O)O',), 109)
(1, ('NC(CC(=O)O)C(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 4)

(8, ('NCCCCC(N)C(=O)O',), ('CC(N)(CCCN)C(=O)O',), 16)
(7, ('CC(N)(CCCN)C(=O)O',), ('CC(N)(CCCN)(C(=O)O)C(=O)O',), 232)
(6, ('CC(N)(CCCN)(C(=O)O)C(=O)O',), ('CC(N)(C(=O)O)C(=O)(O)CCCN',), 969)
(5, ('CC(N)(C(=O)O)C(=O)(O)CCCN',), ('CC(N)C(=O)O',), 3241)
(4, ('CC(N)C(=O)O',), ('CC(N)(C(=O)O)C(=O)OP(=O)(O)O',), 1408)
(3, ('CC(N)(C(=O)O)C(=O)OP(=O)(O)O',), ('NC(CC(=O)O)C(=O)OP(=O)(O)O',), 421)
(2, ('NC(CC(=O)O)C(=O)OP(=O)(O)O',), ('NC(CC(=O)O)C(=O)O',), 87)
(1, ('NC(CC(=O)O)C(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 4)

(8, ('NCCCCC(N)C(=O)O',), ('CC(N)(CCCN)C(=O)O',), 16)
(7, ('CC(N)(CCCN)C(=O)O',), ('CC(N)(CCCN)(C(=O)O)C(=O)O',), 232)
(6, ('CC(N)(CCCN)(C(=O)O)C(=O)O',), ('CC(N)(C(=O)O)C(=O)(O)CCCN',), 969)
(5, ('CC(N)(C(=O)O)C(=O)(O)CCCN',), ('CC(N)C(=O)O',), 3241)
(4, ('CC(N)C(=O)O',), ('CC(N)(C(=O)O)C(=O)OP(=O)(O)O',), 1408)
